移送先ラベル名,セットする内容,移送元ファイル名,移送元項目番号,移送元項目名
DIDAT,現在日時(YYYYMMDDHHMMSS形式),,,
MIUID,ACU_SYS(固定値),,,
DUDAT,NULL,,,
MUUID,NULL,,,
BDVER,NULL,,,
DMSTO,NULL,,,
MMSOU,NULL,,,
DDPPY,NULL,,,
FJPUB,0(固定値),,,
DDDPY,NULL,,,
FJDEL,0(固定値),,,
LUPDT,NULL,,,
MGI11MPREF,住所コード,DCF_SHI.txt,18,住所コード
MGI11MHSPC,ファイルキー(02+03),DCF_SHI.txt,02+03,ファイルキー
MGI11KHSPK,正式施設名(カナ),DCF_SHI.txt,14,正式施設名(カナ)
MGI11KHSPR,略式施設名(カナ),DCF_SHI.txt,16,略式施設名(カナ)
MGI11JHSPN,正式施設名(漢字),DCF_SHI.txt,13,正式施設名(漢字)
MGI11EHSPN,NULL,,,
MGI11JHSPR,略式施設名(漢字),DCF_SHI.txt,15,略式施設名(漢字)
MGI11EHSPR,NULL,,,
MGI11LHSPK,NULL,,,
MGI11CKEIK,経営体,DCF_SHI.txt,36,経営体
MGI11CSASK,再審査区分,DCF_SHI.txt,108,再審査区分
MGI11JHADR,住所(漢字),DCF_SHI.txt,23,住所(漢字)
MGI11EHADR,NULL,,,
MGI11NHSPD,医師名(漢字),DCF_SHI.txt,41,医師名(漢字)
MGI11BPTEL,NULL,,,
MGI11AHSPB,NULL,,,
MGI11BSYBN,郵便番号,DCF_SHI.txt,22,郵便番号
MGI11MSJKB,NULL,,,
MGI11DSKOU,NULL,,,
MGI11MHSP2,NULL,,,
